Idea ID,Problem ID,Idea,Feasibility,Feasibility Rationale,Market Potential,Market Rationale,Originality,Originality Rationale,Simplicity,Simplicity Rationale,Wow Factor,Wow Rationale,Aggregate,Rank
ES-03-A,ES-03,Real-time two-way speech translation overlay for 112,88,"Translation APIs (Whisper, Azure, Google) mature; integration with dispatcher workstation needs partner access but is understood.",85,112 centres are clear institutional buyers; Carbyne and Prepared prove willingness to pay; expansion path across EU.,50,"Carbyne, Prepared, Fraunhofer-Ludwigshafen already ship this capability — differentiation is dialect/accuracy focus, not approach.",80,Translation UX is one of the most familiar patterns; overlay in dispatcher screen is clean to demo.,55,Judges will recognise Carbyne/Prepared deployments in the US and Germany; demo risks feeling derivative rather than novel on stage.,71.6,13
ES-03-B,ES-03,Voice-first multilingual pre-call app (112 companion),70,Mobile app build tractable; 112 data-channel integration non-trivial but documented (via eCall pathway).,70,Harder monetisation — requires pre-emergency adoption by end-users; municipalities and migrant NGOs as sponsors.,78,Voice-native multilingual pre-call is genuinely novel; patents (US11589205) cover server-side but not caller-side.,70,Two-screen flow; app + dispatcher view; demonstrable but more moving parts than a single overlay.,62,Requires setting up a pre-emergency scenario to demo; the 'imagine you pre-installed this' framing lacks punch.,70.0,17
ES-03-C,ES-03,LLM speech reconstruction for panicked callers,65,Needs audio training data + streaming-inference pipeline; arXiv paper validates on synthetic data only.,70,"112 centres in principle interested, but unproven in field trials; adjacent to translation market.",80,Venkateshperumal et al. (2024) is research-grade with no deployment anywhere; genuine frontier.,55,Complex pipeline: transcription + reconstruction + severity classification; harder to tell a simple demo story.,55,Technical depth without visible payoff on stage — reconstructed text looks like ordinary transcription to the audience.,65.0,25
NP-20-A,NP-20,Dual-purpose 'decoy' safety app with LINK integration,75,Mobile app feasible; anti-discovery UX and post-Aspire security model add real engineering cost.,70,"Veilig Thuis, GGD, municipalities, Valente as partners/funders; consumer reach via shelter networks.",78,"Decoy pattern known (Aspire 2013, Bright Sky) but NL-specific + LINK + proper encryption = meaningful novelty.",70,Multiple hidden features require careful UX choreography; harder to demo because the 'trick' is the product.,85,The reveal moment — 'this looks like a recipe app; watch what happens when…' — is one of the most cinematic narrative arcs possible in a hackathon demo.,75.6,7
NP-20-B,NP-20,AI safety-planning chatbot in Dutch + migrant languages,85,Pure LLM + knowledge base + safety plan templates; all within scope of hackathon build.,80,"Valente explicitly advocates 24/7 anonymous helpline; funding route through GGD, women's shelter coalition, health insurer.",70,AinoAid (Finnish research) validates concept; multilingual Dutch deployment is new but not fundamentally novel.,85,Single conversational interface; easy to explain; easy to demo with scripted survivor vignettes.,68,"Mission pull is strong and will land with the panel, but chatbot-genre demos are increasingly commoditised — execution quality will carry or sink this.",77.6,3
NP-20-C,NP-20,Frontline-professional silent-referral tool,60,Requires professional-side workflow integration with GP/midwife/teacher systems; consent UX is subtle.,70,"GGD, health insurers, education departments — institutional but slow-to-buy.",75,Consent-driven victim-controlled handoff is a specific unaddressed gap in Meldcode infrastructure.,55,Two-sided workflow; demo needs professional + victim personas; tricky to show impact in 5 minutes.,50,Professional-workflow tool; the impact narrative is real but the demo format is mostly slides and personas.,62.0,28
NP-15-A,NP-15,Multilingual DigiD / Gemeente procedural assistant,82,LLM + public documentation; integration with actual DigiD flows requires permission but is documented.,80,"Municipalities (200+ in NL), national government, OpenEmbassy, expat services, commercial licensing.",60,"Skendy (Amsterdam), RefuGPT (Switzerland) already do conversational bureaucracy help — execution differentiator only.",75,Conversational; some complexity because bureaucratic flows are irregular and plural.,62,Dutch judges will know Skendy and OpenEmbassy already; risks feeling like an incremental improvement on visible local work.,71.8,12
NP-15-B,NP-15,Photograph-a-letter translator + action advisor,90,OCR + LLM + translation all mature; fully self-contained app; zero partner dependency for MVP.,80,"Every municipality, every refugee NGO, every expat service could deploy or recommend this; consumer direct.",85,Translation tools produce text; no tool produces 'what do I do and by when' from a photographed letter.,92,"Point camera, get answer, one screen — the simplest concept in the entire idea set.",92,"Archetypal wow demo: pull phone on stage, photograph a real Belastingdienst letter, watch it be explained in Arabic with deadline and action items. Every Dutch person has helped a relative through this. Visual, emotional, clearly useful — lands with all four named judges.",87.8,1
NP-15-C,NP-15,AI + peer-navigator hybrid,65,Requires volunteer-navigator network + coordination layer; non-trivial operational complexity.,72,OpenEmbassy partnership natural; municipalities fund integration; but two-sided adoption is slow.,75,Hybrid AI-human pairing model not demonstrated in refugee-integration tools; novel combination.,58,Multi-party workflow; hard to demo without real users; complexity hurts the pitch.,58,Interesting story but the human-in-the-loop piece is hard to demonstrate convincingly in 5 minutes; the soul of the idea also kills the demo.,65.6,24
ES-12-A,ES-12,Operational-hours overlay on HartslagNu,82,Data layer + routing; partnership with HartslagNu makes demo high-fidelity; crowdsourced verification is tractable.,78,"Hartstichting, HartslagNu, health insurers; replicable across EU systems (PulsePoint, German equivalents).",75,Sun et al. 2016 formalised the gap nearly a decade ago; no EU deployment that encodes hours in routing.,85,Map overlay with open/closed status is the canonical 'I get it immediately' demo.,65,"Map + open/closed status lands clearly, but 'map-with-filter' is a familiar genre; judges will appreciate but not lean forward.",77.0,5
ES-12-B,ES-12,24/7 residential AED neighbour programme,55,"Consent, liability, verification infrastructure required; not primarily a software problem.",68,"Hart foundation, health insurers, possibly device manufacturers; meaningful but fragmented funding.",88,No existing programme globally for private-AED-as-public-asset; genuinely novel.,50,"Enrolment + trust + dispatch-integration make this a multi-quarter operational build, not a hackathon demo.",58,Programme-level innovation without an obvious stage demo; judges will appreciate the insight but there's no moment to point at.,63.8,27
ES-12-C,ES-12,Remote-unlock outdoor AED cabinet (IoT retrofit),50,Requires physical hardware + IoT + dispatch integration; scale deployment is years not months.,65,Municipalities as buyers; small per-unit ticket but many potential installations.,75,Proposed in industry whitepapers; not deployed in NL or EU.,55,Hardware + dispatch glue = complex to demo; story needs props.,62,A physical cabinet unlocking live on stage would be dramatic — but getting a working prototype in 24 hours plus props logistics is prohibitive.,61.4,29
ES-04-A,ES-04,Real-time OHCA call-audio classifier (explainable),70,Corti-style baseline available; explainability is the novel technical contribution; needs audio for training.,85,Dispatch centres directly; Corti itself exists as a €60M+ company; clear market signal.,75,Corti is black-box; Blomberg 2021 JAMA RCT showed opaque alerts don't work; explainability layer is the novel piece.,65,ML pipeline + real-time audio + dispatcher UI — demo-able with canned audio but not one-screen-simple.,78,"Explainable AI is precisely the category van Lanschot and Mol will respond to; life-stakes narrative is strong; demo is audio-playback-with-overlay, which works but isn't stunning.",74.6,9
ES-04-B,ES-04,Caller-smartphone OHCA visual confirmation,60,Computer vision + call-workflow integration + caller-side consent UX; lots of moving parts.,70,112 centres interested in principle; caller adoption uncertain during emergency.,85,No purpose-built visual-OHCA classifier in literature or deployment; highly novel.,55,Consent-then-camera flow is awkward; demo requires acted scenarios.,72,"Genuinely novel visual concept, but the consent-then-camera sequence is clunky on stage; the idea is stronger than the demo it produces.",68.4,19
ES-04-C,ES-04,Post-call LLM QI reviewer,75,Batch processing; needs archived audio under GDPR-compliant agreement; technically tractable.,72,Dispatch centres as institutional buyers; quality-improvement budgets exist but modest.,72,Manual QI is standard; LLM-automated is new but incremental rather than transformative.,70,Async batch tool; demo is a dashboard with flagged calls — clear but not thrilling.,45,Dashboard of flagged calls is operationally useful but dead on stage — no moment of revelation.,66.8,21
